2025-12-19 19:10:28.284 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-19 19:10:33.330 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Phone Case | Price: €24.99 | Action: WRITE
2025-12-19 19:10:33.336 [main] INFO  c.e.l.service.ProductService - Product added | ID: 4 | Name: Phone Case | Price: €24.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.336 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Keyboard Cover | Price: €29.99 | Action: WRITE
2025-12-19 19:10:33.343 [main] INFO  c.e.l.service.ProductService - Product added | ID: 5 | Name: Keyboard Cover | Price: €29.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.343 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Wireless Mouse | Price: €49.99 | Action: WRITE
2025-12-19 19:10:33.348 [main] INFO  c.e.l.service.ProductService - Product added | ID: 6 | Name: Wireless Mouse | Price: €49.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.348 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Mechanical Keyboard | Price: €79.99 | Action: WRITE
2025-12-19 19:10:33.352 [main] INFO  c.e.l.service.ProductService - Product added | ID: 7 | Name: Mechanical Keyboard | Price: €79.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.353 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Webcam HD | Price: €89.99 | Action: WRITE
2025-12-19 19:10:33.358 [main] INFO  c.e.l.service.ProductService - Product added | ID: 8 | Name: Webcam HD | Price: €89.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.359 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Desk Lamp | Price: €69.99 | Action: WRITE
2025-12-19 19:10:33.363 [main] INFO  c.e.l.service.ProductService - Product added | ID: 9 | Name: Desk Lamp | Price: €69.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.363 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: USB Hub | Price: €59.99 | Action: WRITE
2025-12-19 19:10:33.368 [main] INFO  c.e.l.service.ProductService - Product added | ID: 10 | Name: USB Hub | Price: €59.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.368 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Gaming Monitor | Price: €299.99 | Action: WRITE
2025-12-19 19:10:33.375 [main] INFO  c.e.l.service.ProductService - Product added | ID: 11 | Name: Gaming Monitor | Price: €299.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.375 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Mechanical Keyboard RGB | Price: €149.99 | Action: WRITE
2025-12-19 19:10:33.380 [main] INFO  c.e.l.service.ProductService - Product added | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.381 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Noise Cancelling Headphones | Price: €349.99 | Action: WRITE
2025-12-19 19:10:33.386 [main] INFO  c.e.l.service.ProductService - Product added | ID: 13 | Name: Noise Cancelling Headphones | Price: €349.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.387 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: iPad Pro | Price: €899.99 | Action: WRITE
2025-12-19 19:10:33.392 [main] INFO  c.e.l.service.ProductService - Product added | ID: 14 | Name: iPad Pro | Price: €899.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.392 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: MacBook Air M3 | Price: €1299.99 | Action: WRITE
2025-12-19 19:10:33.397 [main] INFO  c.e.l.service.ProductService - Product added | ID: 15 | Name: MacBook Air M3 | Price: €1299.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.397 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: MacBook Pro M3 Max | Price: €2499.99 | Action: WRITE
2025-12-19 19:10:33.402 [main] INFO  c.e.l.service.ProductService - Product added | ID: 16 | Name: MacBook Pro M3 Max | Price: €2499.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.402 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: iPhone 15 Pro Max 1TB | Price: €1599.99 | Action: WRITE
2025-12-19 19:10:33.407 [main] INFO  c.e.l.service.ProductService - Product added | ID: 17 | Name: iPhone 15 Pro Max 1TB | Price: €1599.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.407 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Sony A7R V Camera | Price: €3899.99 | Action: WRITE
2025-12-19 19:10:33.412 [main] INFO  c.e.l.service.ProductService - Product added | ID: 18 | Name: Sony A7R V Camera | Price: €3899.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.413 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: LG OLED TV 77" | Price: €2999.99 | Action: WRITE
2025-12-19 19:10:33.418 [main] INFO  c.e.l.service.ProductService - Product added | ID: 19 | Name: LG OLED TV 77" | Price: €2999.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.418 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Unknown | Email: unknown@email.com | ProductName: Gaming Laptop RTX 4090 | Price: €3499.99 | Action: WRITE
2025-12-19 19:10:33.423 [main] INFO  c.e.l.service.ProductService - Product added | ID: 20 | Name: Gaming Laptop RTX 4090 | Price: €3499.99 | User: unknown@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:33.423 [main] INFO  c.e.l.scenario.ScenarioExecutor - ✅ Created 20 test products
2025-12-19 19:10:33.423 [main] INFO  c.e.l.scenario.ScenarioExecutor - 
╔════════════════════════════════════════╗
2025-12-19 19:10:33.423 [main] INFO  c.e.l.scenario.ScenarioExecutor - ║  SCENARIO 1: Casual Browser (Alice)   ║
2025-12-19 19:10:33.424 [main] INFO  c.e.l.scenario.ScenarioExecutor - ╚════════════════════════════════════════╝
2025-12-19 19:10:33.424 [main] INFO  c.e.l.service.UserService - Attempting to register user: alice.johnson@email.com
2025-12-19 19:10:33.480 [main] INFO  c.e.l.service.UserService - Successfully registered user: alice.johnson@email.com with ID: 1
2025-12-19 19:10:33.480 [main] INFO  c.e.l.scenario.ScenarioExecutor - ✅ Created user: Alice Johnson (alice.johnson@email.com)
2025-12-19 19:10:33.481 [main] INFO  c.e.l.service.ProductService - User context set for: Alice Johnson (alice.johnson@email.com)
2025-12-19 19:10:33.481 [main] INFO  c.e.l.service.ProductService - Operation: getAllProducts | User: Alice Johnson | Email: alice.johnson@email.com | Action: READ
2025-12-19 19:10:33.502 [main] INFO  c.e.l.service.ProductService - Retrieved 20 products | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:33.503 [main] INFO  c.e.l.p.service.UserProfileService - Created initial profile for user: Alice Johnson
2025-12-19 19:10:33.605 [main] INFO  c.e.l.service.ProductService - Operation: getAllProducts | User: Alice Johnson | Email: alice.johnson@email.com | Action: READ
2025-12-19 19:10:33.614 [main] INFO  c.e.l.service.ProductService - Retrieved 20 products | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:33.729 [main] INFO  c.e.l.service.ProductService - Operation: getAllProducts | User: Alice Johnson | Email: alice.johnson@email.com | Action: READ
2025-12-19 19:10:33.736 [main] INFO  c.e.l.service.ProductService - Retrieved 20 products | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:33.840 [main] INFO  c.e.l.service.ProductService - Operation: getAllProducts | User: Alice Johnson | Email: alice.johnson@email.com | Action: READ
2025-12-19 19:10:33.851 [main] INFO  c.e.l.service.ProductService - Retrieved 20 products | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:33.967 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 12 | Action: READ
2025-12-19 19:10:33.976 [main] INFO  c.e.l.service.ProductService - Product found | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:33.977 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.030 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 20 | Action: READ
2025-12-19 19:10:34.033 [main] INFO  c.e.l.service.ProductService - Product found | ID: 20 | Name: Gaming Laptop RTX 4090 | Price: €3499.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.041 [main] INFO  c.e.l.p.service.UserProfileService - Profile type changed for user Alice Johnson from READ_HEAVY to EXPENSIVE_SEEKER
2025-12-19 19:10:34.041 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 20 | Name: Gaming Laptop RTX 4090 | Price: €3499.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.093 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 5 | Action: READ
2025-12-19 19:10:34.096 [main] INFO  c.e.l.service.ProductService - Product found | ID: 5 | Name: Keyboard Cover | Price: €29.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.157 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 18 | Action: READ
2025-12-19 19:10:34.160 [main] INFO  c.e.l.service.ProductService - Product found | ID: 18 | Name: Sony A7R V Camera | Price: €3899.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.160 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 18 | Name: Sony A7R V Camera | Price: €3899.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.219 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 20 | Action: READ
2025-12-19 19:10:34.226 [main] INFO  c.e.l.service.ProductService - Product found | ID: 20 | Name: Gaming Laptop RTX 4090 | Price: €3499.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.228 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 20 | Name: Gaming Laptop RTX 4090 | Price: €3499.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.282 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 3 | Action: READ
2025-12-19 19:10:34.291 [main] INFO  c.e.l.service.ProductService - Product found | ID: 3 | Name: HDMI Cable | Price: €19.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.345 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 4 | Action: READ
2025-12-19 19:10:34.351 [main] INFO  c.e.l.service.ProductService - Product found | ID: 4 | Name: Phone Case | Price: €24.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.407 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 7 | Action: READ
2025-12-19 19:10:34.412 [main] INFO  c.e.l.service.ProductService - Product found | ID: 7 | Name: Mechanical Keyboard | Price: €79.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.471 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 5 | Action: READ
2025-12-19 19:10:34.478 [main] INFO  c.e.l.service.ProductService - Product found | ID: 5 | Name: Keyboard Cover | Price: €29.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.533 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 17 | Action: READ
2025-12-19 19:10:34.540 [main] INFO  c.e.l.service.ProductService - Product found | ID: 17 | Name: iPhone 15 Pro Max 1TB | Price: €1599.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.540 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 17 | Name: iPhone 15 Pro Max 1TB | Price: €1599.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.597 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 10 | Action: READ
2025-12-19 19:10:34.602 [main] INFO  c.e.l.service.ProductService - Product found | ID: 10 | Name: USB Hub | Price: €59.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.660 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 12 | Action: READ
2025-12-19 19:10:34.666 [main] INFO  c.e.l.service.ProductService - Product found | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.666 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.724 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 1 | Action: READ
2025-12-19 19:10:34.730 [main] INFO  c.e.l.service.ProductService - Product found | ID: 1 | Name: USB Cable | Price: €9.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.787 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 16 | Action: READ
2025-12-19 19:10:34.792 [main] INFO  c.e.l.service.ProductService - Product found | ID: 16 | Name: MacBook Pro M3 Max | Price: €2499.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.792 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 16 | Name: MacBook Pro M3 Max | Price: €2499.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.850 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 12 | Action: READ
2025-12-19 19:10:34.856 [main] INFO  c.e.l.service.ProductService - Product found | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.857 [main] INFO  c.e.l.service.ProductService - Expensive product view | ID: 12 | Name: Mechanical Keyboard RGB | Price: €149.99 | User: alice.johnson@email.com | Operation: SEARCH_EXPENSIVE
2025-12-19 19:10:34.912 [main] INFO  c.e.l.service.ProductService - Operation: getProductById | User: Alice Johnson | Email: alice.johnson@email.com | ProductID: 3 | Action: READ
2025-12-19 19:10:34.917 [main] INFO  c.e.l.service.ProductService - Product found | ID: 3 | Name: HDMI Cable | Price: €19.99 | User: alice.johnson@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:34.974 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Alice Johnson | Email: alice.johnson@email.com | ProductName: Alice's USB Drive | Price: €19.99 | Action: WRITE
2025-12-19 19:10:34.984 [main] INFO  c.e.l.service.ProductService - Product added | ID: 101 | Name: Alice's USB Drive | Price: €19.99 | User: alice.johnson@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:35.099 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Alice Johnson | Email: alice.johnson@email.com | ProductName: Alice's Phone Stand | Price: €24.99 | Action: WRITE
2025-12-19 19:10:35.111 [main] INFO  c.e.l.service.ProductService - Product added | ID: 102 | Name: Alice's Phone Stand | Price: €24.99 | User: alice.johnson@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:35.111 [main] INFO  c.e.l.service.ProductService - Clearing user context for: alice.johnson@email.com
2025-12-19 19:10:35.315 [main] INFO  c.e.l.p.service.UserProfileService - Exported profile for user Alice Johnson to user-profiles/alice_johnson_email_com_EXPENSIVE_SEEKER_profile.json
2025-12-19 19:10:35.316 [main] INFO  c.e.l.scenario.ScenarioExecutor - 📊 Exported profile for Alice Johnson - Expected: READ-HEAVY
2025-12-19 19:10:35.316 [main] INFO  c.e.l.scenario.ScenarioExecutor - 
╔════════════════════════════════════════╗
2025-12-19 19:10:35.316 [main] INFO  c.e.l.scenario.ScenarioExecutor - ║  SCENARIO 2: Power Shopper (Bob)      ║
2025-12-19 19:10:35.316 [main] INFO  c.e.l.scenario.ScenarioExecutor - ╚════════════════════════════════════════╝
2025-12-19 19:10:35.316 [main] INFO  c.e.l.service.UserService - Attempting to register user: bob.smith@email.com
2025-12-19 19:10:35.333 [main] INFO  c.e.l.service.UserService - Successfully registered user: bob.smith@email.com with ID: 2
2025-12-19 19:10:35.334 [main] INFO  c.e.l.scenario.ScenarioExecutor - ✅ Created user: Bob Smith (bob.smith@email.com)
2025-12-19 19:10:35.334 [main] INFO  c.e.l.service.ProductService - User context set for: Bob Smith (bob.smith@email.com)
2025-12-19 19:10:35.334 [main] INFO  c.e.l.service.ProductService - Operation: getAllProducts | User: Bob Smith | Email: bob.smith@email.com | Action: READ
2025-12-19 19:10:35.345 [main] INFO  c.e.l.service.ProductService - Retrieved 22 products | User: bob.smith@email.com | Operation: READ | Status: SUCCESS
2025-12-19 19:10:35.346 [main] INFO  c.e.l.p.service.UserProfileService - Created initial profile for user: Bob Smith
2025-12-19 19:10:35.448 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Bob Smith | Email: bob.smith@email.com | ProductName: Bob's Product 1 | Price: €234.12927104057215 | Action: WRITE
2025-12-19 19:10:35.453 [main] INFO  c.e.l.service.ProductService - Product added | ID: 200 | Name: Bob's Product 1 | Price: €234.12927104057215 | User: bob.smith@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:35.512 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Bob Smith | Email: bob.smith@email.com | ProductName: Bob's Product 2 | Price: €212.44906445331745 | Action: WRITE
2025-12-19 19:10:35.517 [main] INFO  c.e.l.service.ProductService - Product added | ID: 201 | Name: Bob's Product 2 | Price: €212.44906445331745 | User: bob.smith@email.com | Operation: WRITE | Status: SUCCESS
2025-12-19 19:10:35.576 [main] INFO  c.e.l.service.ProductService - Operation: addProduct | User: Bob Smith | Email: bob.smith@email.com | ProductName: Bob's Product 3 | Price: €100.93666409739659 | Action: WRITE
